"","stk","yr","ets","totalSpawn","rec2","rec3","rec4","rec5","rec6"
"1",1,1995,10390,10390,0,0,3423,263,0
"2",1,1996,17757,17757,0,32,5915,701,0
"3",1,1997,9578,9578,0,139,6316,1136,0
"4",1,1998,1554,1554,0,57,9551,1310,0
"5",1,1999,8049,8049,0,333,11550,4368,0
"6",1,2000,8054,8054,0,98,9449,611,0
"7",1,2001,8856,8856,0,0,5664,332,0
"8",1,2002,12504,12504,0,165,6183,1360,0
"9",1,2003,14513,14513,0,148,1192,0,0
"10",1,2004,10117,10117,0,94,6304,263,0
"11",1,2005,3104,3104,0,251,945,176,0
"12",1,2006,4992,4992,0,33,3105,293,0
"13",1,2007,926,926,0,0,2607,0,0
"14",1,2008,4305,4305,0,0,6781,103,0
"15",1,2009,470,470,0,1257,2269,634,0
"16",1,2010,5262,5262,0,28,7078,0,0
"17",1,2011,2735,2735,0,366,4203,175,0
"18",1,2012,5105,5105,0,119,1706,95,0
"19",1,2013,3442,3442,0,70,958,16,0
"20",1,2014,6698,6698,0,16,558,107,0
"21",1,2015,4707,4707,0,0,1790,162,0
"22",1,2016,2041,2041,0,76,3729,46,0
"23",1,2017,1663,1663,0,54,990,205,0
"24",1,2018,1602,1602,0,53,3350,72,0
"25",1,2019,3819,3819,0,0,1706,53,0
"26",1,2020,3829,3829,0,12,731,69,0
"27",2,1995,4225,4225,0,0,1391.93214629451,106.946583253128,0
"28",2,1996,4625,4625,0,8.33474122881117,1540.62482401307,182.582925043645,0
"29",2,1997,9561,9561,0,138.753288786803,6304.78972645646,1133.98371267488,0
"30",2,1998,1961,1961,0,71.9285714285714,12052.4523809524,1653.09523809524,0
"31",2,1999,1979,1979,0,81.8743943347,2839.7875512486,1073.95601938129,0
"32",2,2000,5328,5328,0,64.8303948348647,6250.84082443506,404.197665756146,0
"33",2,2001,6285,6285,0,0,4019.67479674797,235.616531165312,0
"34",2,2002,8370,8370,0,110.448656429942,4138.81238003839,910.364683301344,0
"35",2,2003,9609,9609,0,97.9902156687108,789.218493764211,0,0
"36",2,2004,6130,6130,0,56.9556192547198,3819.66195512504,159.354551744588,0
