scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,cvERcan,cvERam,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst,rCap,HCRtype,NoAssess
ER0.000,stationary_er0,fixedER,prodRegime,1,chinook,12,fixedER,none,0,0,1,12,0.012,0.25,0.66,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.025,stationary_er0.025,fixedER,prodRegime,1,chinook,12,fixedER,none,0.025,0.025,1,12,0.012,0.25,0.66,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.050,stationary_er0.05,fixedER,prodRegime,1,chinook,12,fixedER,none,0.05,0.05,1,12,0.012,0.25,0.66,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.075,stationary_er0.075,fixedER,prodRegime,1,chinook,12,fixedER,none,0.075,0.075,1,12,0.012,0.25,0.66,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.100,stationary_er0.100,fixedER,prodRegime,1,chinook,12,fixedER,none,0.1,0.1,1,12,0.012,0.25,0.66,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.125,stationary_er0.125,fixedER,prodRegime,1,chinook,12,fixedER,none,0.125,0.125,1,12,0.012,0.25,0.66,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.150,stationary_er0.150,fixedER,prodRegime,1,chinook,12,fixedER,none,0.15,0.15,1,12,0.012,0.25,0.66,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.175,stationary_er0.175,fixedER,prodRegime,1,chinook,12,fixedER,none,0.175,0.175,1,12,0.012,0.25,0.66,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.200,stationary_er0.200,fixedER,prodRegime,1,chinook,12,fixedER,none,0.2,0.2,1,12,0.012,0.25,0.66,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.225,stationary_er0.225,fixedER,prodRegime,1,chinook,12,fixedER,none,0.225,0.225,1,12,0.012,0.25,0.66,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
